scenario_id,total_cost
0,24.852069163273686
1,23.87305968351448
2,22.97049991869707
3,24.174525825703753
4,24.247364024599065
5,23.63189690121015
6,23.552142491985457
7,27.497943270576204
8,22.677967713001994
9,26.918994758949175
10,27.44397335769922
11,23.66991719045424
12,23.861855885294524
13,22.658506868275534
14,23.59476399171485
15,26.582317598713882
16,22.740030905581662
17,26.38478382990823
18,22.673119549972352
19,26.11471117446967
20,26.891039065130567
21,25.5792292602678
22,25.780930886676156
23,25.3773848871355
24,23.27591135885777
25,23.85642364282451
26,23.871423064051154
27,25.379484988314598
28,25.272620197574266
29,26.297881956655274
30,26.720777725011317
31,25.28876551648002
32,24.412701336121778
33,23.02918562110995
34,22.275633685427852
35,24.43057891367517
36,25.913793401816477
37,24.974689894396683
38,25.103630709953784
39,26.644566561848247
40,27.18584834009114
41,24.345384195720243
42,24.125859655953548
43,26.1092306735723
44,25.074258484321533
45,25.36091501458465
46,27.38859005421058
47,24.716105922392227
48,25.790870104528345
49,25.637174956945934
